Date,Day,Holiday,Exchange
15-Jan-2026,Thursday,Municipal Corporation Elections (Maharashtra),NSE & BSE
26-Jan-2026,Monday,Republic Day,NSE & BSE
03-Mar-2026,Tuesday,Holi,NSE & BSE
26-Mar-2026,Thursday,Shri Ram Navami,NSE & BSE
31-Mar-2026,Tuesday,Shri Mahavir Jayanti,NSE & BSE
03-Apr-2026,Friday,Good Friday,NSE & BSE
14-Apr-2026,Tuesday,Dr. Baba Saheb Ambedkar Jayanti,NSE & BSE
01-May-2026,Friday,Maharashtra Day,NSE & BSE
28-May-2026,Thursday,Bakri Eid,NSE & BSE
26-Jun-2026,Friday,Muharram,NSE & BSE
14-Sep-2026,Monday,Ganesh Chaturthi,NSE & BSE
02-Oct-2026,Friday,Mahatma Gandhi Jayanti,NSE & BSE
20-Oct-2026,Tuesday,Dussehra,NSE & BSE
10-Nov-2026,Tuesday,Diwali Balipratipada,NSE & BSE
25-Dec-2026,Friday,Christmas,NSE & BSE
